clusterId,sequences,userId,sessionNum,initialQuery
5,NewQuery+Click1-5,3361896,129,psecu
5,NewQuery+Click1-5,14296420,10,strs ohio
5,NewQuery+NewQuery+Click1-5+Click1-5,188691,90,why i burp constantly after i eat anything
5,NewQuery+Click1-5+NewQuery+NewQuery+Click1-5+RefinedQuery+Click1-5+NewQuery+Click1-5+Click1-5,14741959,29,donatello
5,NewQuery+NextPage,10381173,9,my documents
5,NewQuery,7247537,17,franklin county ohio sheriff office
6,NewQuery+Click1-5,2181219,65,gold breast cancer braclet
5,NewQuery,905553,12,telewizjaplus
5,NewQuery+Click1-5,2281662,162,fifth thrd bank
5,NewQuery+Click1-5+Click1-5+NewQuery+Click1-5+Click1-5+Click6-10,7183685,45,portable dance studio supplies
5,NewQuery+Click1-5+Click6-10+Click6-10,6282159,8,famous daves
5,NewQuery+Click1-5,1416519,1,miracle truss
5,NewQuery+Click1-5+NewQuery+Click1-5+NewQuery+Click1-5,3049991,16,new york sports club
5,NewQuery+Click1-5,4726478,80,bolthouse farms
5,NewQuery,6917231,4,giant eagle
5,NewQuery+Click1-5+Click6-10+Click11++NextPage+Click11++NewQuery+Click1-5+Click1-5+Click1-5,5893026,11,faulkonbuy auction
11,NewQuery+NextPage+NewQuery+Click1-5,7639531,36,family activities in boston during june
5,NewQuery+Click1-5,16699413,2,hva.org
5,NewQuery+Click1-5+Click6-10+Click1-5+Click1-5+Click6-10+Click11+,16844170,11,top 5 beatles songs
5,NewQuery,4317576,65,satjunction
5,NewQuery+Click1-5,902360,30,livio
5,NewQuery+Click1-5,8312339,0,bluemountain
5,NewQuery+Click1-5+NewQuery+Click1-5,7892601,5,air refreshners and crafts
5,NewQuery+Click1-5+Click6-10+NextPage+Click11++NewQuery+RefinedQuery+Click1-5+NextPage+Click11++Click11++NewQuery+Click6-10+NextPage+Click11+,18181773,6,'l l
5,NewQuery+NewQuery+Click1-5,4929369,19,garage door remotes
5,NewQuery+Click1-5+Click1-5+Click1-5+Click6-10+NewQuery+Click1-5+Click1-5+Click1-5+Click6-10+Click6-10,3813700,11,swingers true stories
5,NewQuery+NextPage,5597618,47,fleas
5,NewQuery+Click1-5+Click1-5,5007362,6,the way to happiness foundation
5,NewQuery+Click1-5+RefinedQuery+Click1-5+Click1-5+NewQuery+Click1-5,6658583,5,california tax
6,NewQuery,19698365,6,norco california bank robbery
5,NewQuery+NextPage+Click11++Click11+,15534564,1,clipart
5,NewQuery+NewQuery,8457743,30,moneybelt
11,NewQuery+Click1-5,3355682,184,pink saphire
5,NewQuery+NewQuery+Click1-5,12697493,8,keyspan
5,NewQuery+RefinedQuery+Click6-10+NewQuery+Click1-5,4772193,54,best credit card offers
5,NewQuery+RefinedQuery+NextPage,288559,184,san gorgonio
5,NewQuery,18500679,0,cowboy spanking corpal punishment
5,NewQuery+Click1-5,1912452,103,front range community college
5,NewQuery+Click1-5+NewQuery+Click1-5+NewQuery+Click1-5+Click1-5+Click1-5,10983975,5,wachovia banking
5,NewQuery+Click1-5+Click1-5+Click1-5+Click6-10+NextPage+NewQuery+Click1-5,870183,8,longestlist
5,NewQuery,6392781,9,internet
5,NewQuery+Click1-5+NextPage+Click1-5,20932895,3,nfl draft by team
5,NewQuery+Click1-5,4980776,23,creation science studies
5,NewQuery+Click1-5+NewQuery+Click1-5,4711093,30,darien lake performing arts center
5,NewQuery+Click1-5+NewQuery+Click1-5,1882092,16,plus size renaissance clothing
5,NewQuery+RefinedQuery,11506088,15,palm beach booking blotter
5,NewQuery+Click1-5+NewQuery+RefinedQuery+Click1-5+NewQuery+Click1-5+NewQuery+Click1-5,3139150,15,401k rules
5,NewQuery+Click1-5,2677717,1,naked wwe divas
5,NewQuery,1410537,95,mckenzie hooded jacket
5,NewQuery+Click1-5,1484866,2,outlet mall
5,NewQuery+Click1-5,20787824,0,ae.cm
11,NewQuery+Click1-5,1155079,2,weww.homedeocrators com
11,NewQuery,3067152,34,dmvpractice test
5,NewQuery+Click1-5,1750999,35,greenwich gallery brett
5,NewQuery+Click1-5,486036,1,mime
5,NewQuery,2718940,11,ruby's tuesays in farmville va.
5,NewQuery+Click1-5,5043573,11,parenting toddler
5,NewQuery+NewQuery+Click1-5+Click1-5+Click1-5,1231736,3,bankatlantic
16,NewQuery+NewQuery,5726230,65,reddoorrealty
5,NewQuery+RefinedQuery+NextPage+NewQuery+NextPage+NextPage,1864771,18,australian geography
16,NewQuery+Click1-5,4001438,15,guardgear
17,NewQuery+Click1-5,4428406,13,what are the meanings of eaaach color
5,NewQuery,16348621,4,wooden cross clipart
5,NewQuery+Click1-5+NextPage,516332,2,emeraldprintcesscasino.co
5,NewQuery,2822449,23,fat 6 plumpers
5,NewQuery+Click1-5,69947,8,hellstromism
5,NewQuery+Click1-5,466263,3,nasa
5,NewQuery+Click1-5+Click1-5,14276287,2,experience hendrix
19,NewQuery+Click1-5+Click1-5+Click1-5+NewQuery+Click1-5,4364025,0,grants for public library district
10,NewQuery+NewQuery+NewQuery,718162,6,salmahayek
5,NewQuery+NextPage+Click11+,3380668,81,limuplex
5,NewQuery+NewQuery+Click6-10+NewQuery+Click1-5+NewQuery+NewQuery+NewQuery+RefinedQuery+NextPage,1799208,124,great lakes kraut co.
12,NewQuery+Click1-5+Click1-5,877507,122,joanne mueller guinea pigs
19,NewQuery+Click1-5,5923971,3,metal dedectors
5,NewQuery+NewQuery+NewQuery+Click1-5+NewQuery+Click1-5,2792418,19,jetblue
5,NewQuery+Click1-5+Click6-10,1762269,71,moh servers
5,NewQuery+Click1-5,2444705,5,okla state
5,NewQuery,4062477,16,today in history
5,NewQuery+Click1-5+Click11+,1839415,92,swimsuits
5,NewQuery+Click1-5,7371830,5,dress barn
5,NewQuery+Click1-5+NewQuery,728646,46,mock drafts
5,NewQuery,3940343,12,recombinomics
5,NewQuery+Click1-5,679387,27,barbie bazaar
16,NewQuery+Click1-5+Click6-10+NewQuery+NewQuery+Click6-10+Click1-5,1786145,34,keylesslockset
5,NewQuery,726431,21,steroids human growth hormone insulin
11,NewQuery,10676407,36,horse werks computer program
5,NewQuery,12391658,9,coffey landscaping
5,NewQuery+Click1-5+NextPage+RefinedQuery+Click1-5+Click1-5+NextPage+NewQuery,11617129,9,minirecent
6,NewQuery+NextPage+Click1-5+NewQuery+Click1-5,5029035,7,trot line methods
5,NewQuery+Click1-5,6161245,7,pc magazine
5,NewQuery+NewQuery+Click1-5,3856737,11,rubber flooring
5,NewQuery+Click1-5+Click6-10+Click1-5,1153766,29,idaho fish and game
5,NewQuery+Click1-5,635699,9,tumble bees
11,NewQuery+NewQuery+NewQuery,9695470,0,lan2
5,NewQuery,6733970,1,om
17,NewQuery+Click1-5+NewQuery+Click1-5+NewQuery+Click1-5,5038719,204,free clip art
5,NewQuery,7998811,0,fish aquarium
14,NewQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click6-10,13722680,5,air techniques airstar 3
5,NewQuery+NewQuery+Click1-5+Click1-5+Click1-5,15516310,2,frenchcum
5,NewQuery+Click1-5,13331676,23,yomo
5,NewQuery+RefinedQuery+NextPage+Click1-5,15905169,0,harvard bartending school
5,NewQuery+NewQuery+Click1-5+Click6-10+Click1-5+Click1-5+NewQuery+Click1-5+NewQuery+Click1-5+Click1-5+Click6-10+Click6-10+Click6-10,18313746,0,colonoscopy
5,NewQuery+Click1-5+Click1-5+Click1-5+Click1-5,13111193,15,bc rich
16,NewQuery+Click1-5,6583388,47,kara monaco
5,NewQuery+Click1-5+Click6-10+Click6-10+NextPage,5634901,41,measurments
5,NewQuery,1751231,135,mountaire
5,NewQuery,1672789,94,preakness results
19,NewQuery,10641512,10,camera
11,NewQuery+Click1-5,3368581,47,aa
5,NewQuery+Click1-5+Click1-5+Click1-5+NewQuery+RefinedQuery+NewQuery+NewQuery,1544143,79,ktrh
5,NewQuery+Click1-5+Click1-5,14777869,28,how can i get divorce papers
5,NewQuery+Click6-10+NewQuery+Click1-5,5231545,17,amending tution assitant program
11,NewQuery+Click1-5+Click6-10+NewQuery+NextPage+RefinedQuery+RefinedQuery+Click1-5+Click1-5+Click1-5+Click11+,9415463,1,careerbulider com
5,NewQuery,23717955,1,methamphetamine
5,NewQuery,20524527,4,dmv drivers written practice test
11,NewQuery+Click1-5+Click1-5+Click11++NextPage+Click11+,5874400,66,nnessee
5,NewQuery,11522715,15,brooks adrenaline
5,NewQuery+Click1-5,7815102,0,arizona registar of contractors
5,NewQuery,2298050,14,cignacom
5,NewQuery,7897529,10,better business bureau
5,NewQuery,17480515,0,teen panties
5,NewQuery+Click1-5,2323903,55,fiji lonely planet
5,NewQuery+Click1-5,12482886,9,generic host process
11,NewQuery+Click1-5,1957463,8,dennis l. rader murder
12,NewQuery+Click6-10+Click11++NewQuery,18108144,27,park hyatt washington dc
12,NewQuery,12401163,11,american nurses association
5,NewQuery,4567493,20,susan frei
5,NewQuery+Click1-5+NextPage+NewQuery+NewQuery+Click6-10+Click6-10+Click1-5,3906381,23,power ball
6,NewQuery,10514329,2,places in ct where schools can get eggs to hatch
5,NewQuery+Click1-5+Click1-5,2839690,371,kcd
5,NewQuery+RefinedQuery+Click1-5,2460780,30,daytonatoyotacom
5,NewQuery,8000644,16,grapevine mills mall
11,NewQuery+NextPage+NextPage+Click11++NextPage+NextPage+NextPage+NextPage+Click11++NextPage+Click11++Click11++Click11+,2897082,114,office depot
5,NewQuery+Click1-5,15364404,7,char margolis
12,NewQuery+Click1-5+NewQuery+NextPage+Click1-5+NewQuery+Click1-5,3703453,38,my favorite lesson is
6,NewQuery+Click1-5+Click1-5+NewQuery+Click1-5+Click1-5,2421342,6,xxx
6,NewQuery,4998035,36,marriage buncombe county nc
5,NewQuery+NewQuery,1715708,10,fort william
19,NewQuery+Click1-5,4468180,12,billmelater
5,NewQuery+NextPage+NextPage+NewQuery+NextPage+NewQuery+NextPage+NextPage+NewQuery+NextPage+Click6-10+Click6-10+Click6-10+NextPage+Click11++Click11++Click11+,17533036,5,america west
5,NewQuery+Click1-5,419670,83,m shoes
11,NewQuery,5485272,95,dogw
5,NewQuery+Click1-5,1110103,279,asstr
5,NewQuery+RefinedQuery+Click1-5,1799545,10,dore developmental learning program
5,NewQuery,1088113,70,cricket
5,NewQuery,8505997,7,ural mountains
5,NewQuery,8725350,19,adult filmmaker john leslie dixie rae-movie
6,NewQuery+Click1-5+Click1-5,13140051,2,cnas
12,NewQuery+Click6-10+Click1-5,16126344,0,u
5,NewQuery,13752442,0,rick via ministries
11,NewQuery,855167,22,how long should i wait to take a pregnacy test
5,NewQuery+Click1-5,2597654,55,miniature dachsunds
5,NewQuery+RefinedQuery,2154235,12,vin diesel news
5,NewQuery,1773364,17,martha of bethany
11,NewQuery+Click1-5+Click1-5,1564127,13,joseph a banks
5,NewQuery+Click1-5+NewQuery+Click1-5,15164210,4,gay shopping
5,NewQuery+NewQuery,2670178,33,beethoven satellite network playlists
5,NewQuery+Click1-5,967723,74,snap on tools
5,NewQuery+Click1-5,1551692,9,eve online screenshots
19,NewQuery+NewQuery+Click1-5,17063445,4,propagate
5,NewQuery+Click1-5+Click1-5+Click1-5+Click6-10+Click6-10+Click1-5+Click1-5,3880234,7,why become a nurse
5,NewQuery+NextPage+Click1-5,6830920,29,vintage watch websites
5,NewQuery+NewQuery,616422,82,savings institute
11,NewQuery+NewQuery+NextPage+NewQuery+NextPage+NewQuery+Click1-5,3506748,17,nsndr
5,NewQuery+Click1-5,12336615,12,beethoven
5,NewQuery+Click6-10,978970,17,west virginia
5,NewQuery+Click1-5,5953131,22,home businesses
5,NewQuery+Click1-5,2648689,19,monex
5,NewQuery+Click1-5+Click1-5,1839415,81,keyboards
5,NewQuery+Click1-5+Click1-5+NewQuery+Click1-5+Click1-5+Click6-10+NewQuery,2854759,27,fitness designs
6,NewQuery+Click6-10,3546938,17,sarasota fl. water parks
5,NewQuery+Click1-5,6404410,12,pennsylvania teacher certification
5,NewQuery+NextPage+Click1-5,5069201,3,manhunet
5,NewQuery+Click1-5,14972191,21,atlanta braid shops
5,NewQuery+Click1-5+Click6-10,4928215,9,softball cheers
5,NewQuery+NextPage+Click1-5,10723895,27,mysp
5,NewQuery+NextPage+NextPage,20916927,39,low carb recipes
11,NewQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click11++NextPage+Click11++Click11++Click11++NextPage+Click11++NewQuery+NextPage+Click11++NextPage+NewQuery+NextPage+NextPage+Click1-5+Click1-5+Click1-5+Click6-10+Click6-10+NextPage+Click11++Click11++Click11++NextPage+Click11++NextPage+Click11++NextPage+Click11++NextPage+Click1-5+Click1-5,2716271,10,domestic cow
5,NewQuery+Click1-5+Click1-5+Click6-10+Click6-10+Click6-10+Click6-10+Click1-5+RefinedQuery+Click1-5+NextPage,3295362,91,http blackboard.bccc.edu
6,NewQuery+Click1-5+NextPage+Click1-5,11107746,12,composi decking
5,NewQuery,9682995,23,diabetes ass
12,NewQuery+Click1-5,2752413,39,backofthenet
19,NewQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click1-5,11530553,7,pointofforums
11,NewQuery+RefinedQuery+Click1-5+Click1-5+Click6-10+NewQuery+Click1-5,16121975,182,quik trip corporate office
5,NewQuery,735652,8,cute pdf
5,NewQuery+Click1-5+NextPage,24313209,0,pennsylvania
5,NewQuery+NextPage+Click1-5,3289429,163,regaining muscle mass following atrophy
19,NewQuery+Click1-5+Click1-5+Click1-5+NewQuery+Click1-5,5212876,56,hip hop muic
11,NewQuery,20879644,6,imminent
5,NewQuery,486664,37,pet shower
5,NewQuery+Click1-5+Click11++NewQuery+Click1-5+NewQuery+Click1-5,2890356,3,bb&t credit card connection
5,NewQuery+Click1-5,7087491,24,health statisi
5,NewQuery+RefinedQuery+Click1-5+NewQuery+Click1-5,11350066,54,pony
5,NewQuery+Click1-5,10252125,32,texas dps database
5,NewQuery+Click1-5+Click1-5+NewQuery+Click1-5+NextPage,4812321,16,south carolina dept. of labor
5,NewQuery+NewQuery+RefinedQuery+Click1-5,2577447,163,silverdaddies
5,NewQuery+NextPage+NextPage+NextPage+NextPage+Click11++NextPage+NewQuery+Click1-5+Click1-5+Click6-10+Click6-10+NextPage+Click11++NextPage+Click11+,3656641,61,fly rod holders
5,NewQuery+RefinedQuery+Click1-5,9134504,13,pocket t shirts
5,NewQuery+Click1-5,7416758,3,christopher reeves foundation
5,NewQuery+NewQuery+RefinedQuery+Click1-5+Click1-5,6405163,1,eye drops
6,NewQuery+Click1-5,2775201,26,education in the u.s
11,NewQuery+Click1-5+Click1-5+Click1-5,2943842,48,air force base locations
5,NewQuery+Click1-5+Click1-5+NewQuery+NextPage+Click1-5,326615,48,spanish to english translator
5,NewQuery,11718588,12,the villages
12,NewQuery+RefinedQuery+NewQuery+NewQuery+NextPage,1593906,11,bisquick reciepe
5,NewQuery,5100978,28,columbiahouse dvd's
16,NewQuery+Click1-5+Click1-5,742091,34,how to draw bloodfor blood test
5,NewQuery+Click1-5,7475802,24,k&k mime
14,NewQuery+Click1-5,7228814,1,chip gavin nelson
19,NewQuery+NextPage,7025083,4,ebga
19,NewQuery+Click1-5,10309010,10,storage
5,NewQuery+Click1-5+NextPage+Click1-5,1696555,46,coral springs pages
